userName,score,at,content,translated_content,sentiment
Zamriaty Piliang,3,2024-06-21 19:09:10,"App nya update otomatis,setiap update balasan komentar tidak muncul..bikin kesel aja..jdi gak bisa lihat balasan komentar kita.. hrus hpus data lagi dan login ulang,begitu aja trus..asal mau lihat balasan koment hrus hpus data dlu..jdi gak nyaman pake app ini","The app updates automatically, every time it is updated, the comments reply doesn't appear... it just makes you annoyed... so you can't see the replies to our comments... you have to delete your data again and log in again, just like that... as long as you want to see the comments replies you have to delete your data first. So I'm not comfortable using this app",negative
Widia Astuti,5,2024-07-11 09:05:12,"Baru setahun threads muncul sudah banyak pengguna. Aplikasi belum banyak iklan, mungkin nanti beda lagi.","It's only been a year since the thread appeared and there are already many users. The application doesn't have many advertisements, maybe it will be different later.",negative
Muhamad Safrizal,3,2024-05-23 13:36:12,"Bug - Sering tampil sih beberapa postingan di Instagram untuk mengarahkan buka aplikasi anda ini, tp ketika diklik postingan tersebut malahan ngk tampil atau postingan yang lain (tidak sesuai postingan untuk dilihat penuh)...","Bug - Often several posts appear on Instagram to direct you to open this application, but when you click on the post it doesn't appear or another post (not suitable for the post to be seen in full)...",negative
Tommy Indo Prabunegoro,1,2024-05-11 13:37:26,"Aplikasi ini jelek sekali, dari namanya saja tidak menarik. Saya sebenarnya malas, kalo aplikasi dikelolah oleh meta karena aturan meta keraaaaaas coba lihat tiktok, kalo ngk benar ya uda dia minta hapus kan aman. Bukan sangsi harus di terapkan.","This application is really bad, the name alone is not interesting. I'm actually lazy, if the application is managed by meta because the meta rules are hard, try looking at tiktok, if it's not true then he'll ask to delete it, it's safe. There is no doubt that it must be implemented.",negative
Sablon Kaos Indonesia,1,2024-07-17 09:38:26,"Sering sekali notifikasi komentar tidak masuk, krna dianggap spam oleh Threads... UI komentarnya juga JELEK SEKALI Bgmna caranya agar semua komentar tetap muncul tanpa di sembunyikan secara otomatis?","Very often comment notifications don't come in, because they are considered spam by Threads... The comment UI is also VERY UGLY. How can I make all comments still appear without being hidden automatically?",negative
Djatianom,1,2024-06-01 08:28:06,Ini aplikasi sangat buruk.. akun Instagram saya menjadi hilang gegara ini aplikasi thread. Ini Aplikasi Tidak secanggih seperti dugaan.. aplikasi abal-abal. Lebih baik saya Un-Install.,This application is very bad... my Instagram account was lost because of this thread application. This application is not as sophisticated as expected... it's a fake application. I'd better Un-Install it.,negative
ChiGe,3,2024-05-25 07:20:47,"Tambahkan mode gelap, jangan dari pengaturan HP. Sebagai penyuka gelap ini sangat menyusahkan soalnya hari dari setelan HP sedangkan tidak semua nya bagus dalam mode gelap","Add dark mode, not from HP settings. As a dark lover, this is very troublesome because the day is from HP settings while not all of them are good in dark mode",positive
MAEL GZ,5,2024-07-02 16:36:08,"hallo admin! sejauh ini aplikasi threads ini sangat menghibur sekali, terlebih pada postingan yang bertemakan komedi.Sayangnya ada sebuah kekurangan yang mungkin kita butuhkan yaitu kita tidak dapat membaca komentar pembaca lain terhadap postingan,saya memohon sekaligus meminta supaya pembaca dapat membaca komentar, Terimakasih.","hello admin! So far this threads application is very entertaining, especially for posts with a comedy theme. Unfortunately there is a drawback that we might need, namely that we cannot read other readers' comments on posts. I beg and ask that readers can read comments. Thank you.",positive
FAIM yadah,3,2024-05-09 15:12:36,"Admin!! Tolong tampilan pengaturan ditambahkan tema gelap, kami sangat membutuhkan nya demi kenyamanan mata.... Sekian terimakasih","Admins!! Please add a dark theme to the display settings, we really need it for eye comfort... That's all, thank you",positive
Gallen Ganendra,1,2024-06-23 05:15:28,"Buat Kalian yg login threads terutama yg threadsnya suka ke log out sendiri, coba cek keamanan deh, abistu tempat login, ada gambar pc (perangkat tidak dikenal) gak. soalnya udah 3 kali ini IG gua kena penangguhan terus awalnya mikir kena hack tapi baru ngeh setiap buka thread ig ada yg login perangkat baru sadar kayanya ini aplikasi bikin bug, kalo ada saran apus aja threadnya, daripada eror malah merambat ke ig nya langsung","For those of you who log in to threads, especially those whose threads like to log out themselves, try checking security, then where you log in, is there a picture of a PC (unknown device). the problem is that already 3 times my IG has been suspended and at first I thought it had been hacked but then I realized that every time I opened the IG thread someone logged in on my device and then I realized that this application seems to be causing bugs. If you have any suggestions, just delete the thread, instead of the error spreading directly to IG.",negative
Dio Febrian,1,2024-05-23 02:05:33,"Kok ada bug ya ,pas waktu saya mencet mau lihat komen kok gak bisa plus gaada masalah apapun di internet saya dan malah bilang sistem eror coba setelah beberapa menit","How come there's a bug? When I press to see comments, it doesn't work, plus there's no problem whatsoever on my internet and instead it says system error. Try after a few minutes.",negative
NattoPedia,4,2024-07-09 11:51:46,Kapan ada fitur read aloud seperti aplikasi lain? Terkadang saya tidak fokus membaca dan ingin mendengar saja.,When will there be a read aloud feature like other applications? Sometimes I don't focus on reading and just want to listen.,positive
Ratih Dery,1,2024-07-07 03:59:38,"Kurang bagus, tidak bisa menampilkan postingan di Treads ,sudah di coba di Instagram pun sulit keluar postingan gambar ...","Not good, can't display posts on Treads, I've tried it on Instagram and it's hard to get image posts...",positive
Google Googling,5,2024-07-02 04:15:40,Hallo meta.. sejauh ini saya menggunakan threads baik baik saja tapi sebulan terakhir fitur hapus utas (titik tiga) di akun saya menghilang jadi saya kerepotan unyuk menghapus utas saya. Mohon di perbaiki. Saya sangat kesulitan.,"Hello meta... so far I've been using threads fine, but in the last month the delete thread feature (three dots) on my account disappeared so I'm having a hard time deleting my threads. Please fix it. I'm really having a hard time.",negative
Midëvalla Eirën,5,2024-07-08 10:21:20,"overall good, gw sih minta adakan fitur list kyk sebelah agar konten lebih terorganisir","overall good, I would like to have a list feature like the one on the side so that the content is more organized",positive
Ayoe Arini,1,2024-07-14 00:53:04,Dah 3x install ulang. Kenapa sih gapernah muncul komen orang sampe harus uninstall dan install ulang agar muncul lagi komenan orang?,I've reinstalled it 3 times. Why do people's comments never appear until you have to uninstall and reinstall to make people's comments appear again?,negative
Muhammad Ridwan,3,2024-03-26 19:18:49,"Sudah cukup bagus, dan fitur yang paling saya suka adalah bisa mengirim pesan suara di komen section, tapi kekurangan cuma satu, resolusi jadi menurun kalau upload atau download media, tolong tambahkan opsi untuk meng-upload atau mendownload gambar dan video dalam resolusi yang HD agar aplikasi ini bisa lebih bagus lagi!!","It's quite good, and the feature I like the most is being able to send voice messages in the comments section, but there's only one drawback, the resolution decreases when uploading or downloading media, please add the option to upload or download images and videos in HD resolution so that this app could be even better!!",positive
Mutiara Salsabila,3,2024-06-22 22:54:37,"Halo, kenapa threads saya tidak bisa posting tulisan ya? Tolong jawabannya, dan akhirnya saya uninstall. Sekarang coba download lagi semoga bisa posting tulisan.","Hello, why can't my threads post posts? Please answer, and finally I uninstalled it. Now try downloading again, hopefully you can post an article.",positive
M RAFLI,3,2024-07-16 11:42:23,"Coba ditambahkan fitur bisa dikasih lagu gitu di postingan yang kita mau buat, soalnya jujur lebih enak menumpahkan segala resah gw di aplikasi ini.","Try adding a feature that can include songs like that in the posts we want to make, because honestly it's better to just share all my worries in this application.",positive
nurul wahidah,5,2024-06-18 21:46:17,"belum lama pakai aplikasi ini, menurut saya bagus juga untuk share berita terbaru, kebanyakan orang cuma untuk tempat curhat. aplikasi ini mirip aplikasi yang dulu"" path ""","I haven't used this application for a long time, I think it's also good for sharing the latest news, most people just use it as a place to vent. This application is similar to the previous application ""path""",positive
Aris Fajar Priyono,5,2024-06-18 05:33:43,Tampilan bagus cuma rentan kena pelanggaran setiap bikin utasan. Padahal tidak ada unsur yang melanggar,A good appearance is just vulnerable to being violated every time you create a thread. Even though there are no elements that violate it,negative
Andre Wuarlela,5,2024-07-01 08:33:15,cukup bagus untuk bisa menulis segala ide dan pikiran sekaligus gagasan,good enough to be able to write down all ideas and thoughts as well as ideas,positive
Anak Desa Lio,5,2024-07-06 12:31:36,lebih difilter lgi ya klo ada yg modus penipuan di aplikasi ini..,It's more filtered if there are fraudulent methods in this application...,negative
Rudys Tira88,5,2024-07-10 09:13:17,"seni, mantap, jempol, harus instal sih buat kalian yang belum instal","art, great, thumbs up, you have to install it for those of you who haven't installed it yet",positive
Rere,2,2024-06-22 12:40:36,Apasi klo buat apk tu yg bener masa iya ngebug trus padahal jaringan ok pakek wifi rumah aj masih tetep.,"What's more, if you make the correct apk, it will bug and even though the network is ok, just using your home WiFi, it's still working.",positive
Abdara Abdara,5,2024-06-25 04:03:46,sangat termotivasi adanya aplikasi ini. sehinnga saya bisa melakukan kegiatan lebih banyak lagi.,Very motivated by this application. so I can do more activities.,positive
Sindi Maulida,5,2024-06-23 07:10:19,sistem UI nya enak dan postingan yang lewat sesuai minat,The UI system is nice and the posts that pass are according to your interests,positive
Nur Akmal,2,2024-06-08 15:34:54,"ketika saya memposting sesuatu muncul notifikasi di Instagram teman saya padahal saya udah menonaktifkan pengaturan ""sarankan postingan di Instagram""","When I post something a notification appears on my friend's Instagram even though I have disabled the ""suggest posts on Instagram"" setting.",negative
Ahmad Rijal,2,2024-06-12 02:06:06,"Kenapa yah apk nya kalo aku mau merubah foto profil nya gak ada poto poto ku yang di SD card, jadi profil nya gak bisa di atur","Why is it that if I want to change my profile photo, the apk doesn't have any photos of me on the SD card, so the profile can't be adjusted?",positive
Charĺes Nahak,5,2024-06-17 11:40:21,"Saya sangat menyukai aplikasinya mirip dengan twiter, tingkatkan dan semoga ada fitur baru","I really like the app similar to twiter, improve it and hopefully there will be new features",positive
Iqbal Id,2,2024-05-17 15:42:33,"Bisa tidak, threads ini tidak usah di gabungin dengan Instagram, soalnya kalau ada masalah pasti ikut juga ke Instagram.","Whether you can or not, you don't need to combine this thread with Instagram, because if there is a problem you will definitely join Instagram too.",positive
Muhammad Rafi',5,2024-05-01 17:25:59,"bagus, cuman orang lain dari instagram kurang aktif di platform ini... sepi jadinya.","good, but other people from Instagram are less active on this platform... it's so quiet.",positive
Sri Resminingsih,5,2024-06-16 22:57:27,Seru juga ya memakai aplikasi Threads jadi banyak lebih informasi dan ide yang kita dapat di media sosial..thank you,It's also fun to use the Threads application so we can get a lot more information and ideas on social media...thank you,positive
Fatimtim spentreema,3,2024-05-20 19:31:08,"Bagus lah tambahkan lagu kaya di instagram dong min, sama arsipkan postingan","It's good to add rich songs on Instagram, bro, and archive posts",positive
sufrah sofiatul zahro,4,2024-05-29 04:17:55,apk nya baguss suka banget tapi saran aku tambahin fitur arsip buat utasan sama mode gelap dipengaturan pleasee,"the apk is good, really like it but my suggestion is to add an archive feature for threads and dark mode in the settings pleasee",positive
jony p waimoeri,5,2024-05-17 03:02:38,"Threads, merupakan tempat dan sumber inspirasi bagi kita smua dalam menuangkan ide, gagasan dan inspirasi yg positif. Makasih Threads is the best.","Threads, is a place and source of inspiration for all of us in expressing positive thoughts, ideas and inspiration. Thanks Threads are the best.",positive
Dio And Game,1,2024-06-25 12:16:53,"akun threads di bio instagram tidak bisa disembunyikan, minimal sedikit memahami lah kalau ga semua pengguna mau ada nama akunnya di bio terpampang segede itu, mohon di update selanjutnya akun threads nya bisa di hide dari bio ig saya mohon🙏","The threads account in the Instagram bio cannot be hidden, at least a little understanding that not all users want their account name in the bio displayed that big, please in the next update the threads account can be hidden from the IG bio, I beg you🙏",positive
Putu Ayuni,5,2024-06-25 03:57:39,Pengetahuan zaman teknologi DIGITAL MODERAN yg mencerdaskan juga wawasan tentang kemajuan peradaban dunia🙏,Knowledge of the era of MODERN DIGITAL technology that also provides insight into the progress of world civilization🙏,positive
kohar rudin,5,2024-02-15 22:38:06,"Aplikasi nya bagus tampilannya juga menarik dan enak dilihat udah lumayan bagus, cuman tinggal pengaturan suara video nya membuat risih karena setiap ada video harus selalu klik ikon volume per video yang dilihat","The application is good, the appearance is also attractive and nice to look at, it's pretty good, just setting the video sound makes it annoying because every time there is a video you have to always click on the volume icon per video being viewed.",positive
Radya Rizky Dewi,5,2024-03-26 17:03:10,"Sejauh ini udah bagus tapi coba buat seperti instagram bisa di teg sesama pengguna threads, untuk gantibakun threadsnya tolong di jadi kan kaya instagram supaya mempermudah ganti akunnya, semoga makin berkembang aplikasinya, dan semoga enggak bug. Terima kasih 🙏🏻","So far it's good, but try to make it like Instagram, you can tag fellow thread users, to change your thread account, please make it like Instagram so it's easier to change accounts, hopefully the application will develop further, and hopefully there won't be any bugs. Thank you 🙏🏻",positive
Debi Maulana Ahsan Halla,4,2024-02-04 22:54:22,"Mohon developer bisa kembangkan lagi aplikasi ini dengan membedakan timeline untuk pengikut kita dan timeline untuk yang disesuaikan dengan algoritma. Selain itu, sediakan fitur DM serta bisa melihat hal yang sedang trending di sebuah negara. Mohon tambahkan juga fitur markah untuk menandai thread yang penting.","Please developers can further develop this application by differentiating the timeline for our followers and the timeline for those adjusted to the algorithm. Apart from that, provide a DM feature and can see what is trending in a country. Please also add a bookmark feature to mark important threads.",positive
Rizki Firmansyah,5,2024-02-02 07:48:16,"Aplikasi terbaik namun simpel untuk berbagi, bercerita dan berteman sejak tahun lalu, terus tingkatkan performa untuk kedepannya yang lebih baik👍, oh ya saran dari saya tolong tambahkan fitur kirim pesan layaknya Instagram👌","The best but simple application for sharing, telling stories and making friends since last year, continue to improve performance for a better future👍, oh yes, my suggestion is please add a message sending feature like Instagram👌",positive
Lasma Manullang,3,2024-02-16 05:39:34,Enak buat menulis panjang tapi sistem reply-nya berantakan. Berasa lompat2. Contoh twitter aja. Lebih simpel. Bisa tambahin tombol mute buat notifikasi per postingan ga? Please.,It's good for long writing but the reply system is messy. Feels like jumping. Just Twitter for example. Simpler. Can you add a mute button for notifications per post? Please.,positive
Yelin Piranti,3,2024-05-08 00:38:54,Habis di update aplikasinya kok saya cuma bisa masuk akun anonim threads saya tidak bisa masuk ke akun utama saya @yelinpiranti tolong kembalikan akun saya buat saya login ke akun utama saya perasaan saya tidak pernah bikin status yang aneh di threads saya selalu membagikan kata - kata motivasi jangan aneh dan agak laen threads habis di update aplikasinya malah makin buruk bikin tambah kecewa,"After updating the application, I can only log in to the anonymous threads account. I can't log in to my main account @yelinpiranti. Please return my account so I can log in to my main account. I feel like I never make strange statuses in threads. I always share motivational words. Don't be weird and it's a bit slow when the threads are updated, the application gets worse, making you even more disappointed",positive
dery movick12,1,2024-04-30 02:42:41,"Tolong perbaiki dong,masa gagal terus bikin utasan , kalo sudah di perbaiki saya kasih bintang 5","Please fix it, when it fails, you keep making threads, if it's fixed I'll give you 5 stars",negative
Nasril Ilham,5,2024-06-11 15:22:51,Ini adalah aplikasi pengganti X Twitter yang hampir menyerupai persis. Sejak beredar rumor bahwa bos meta Mark akan duel 1 vs 1 dengan bos Twitter X mas Elon aplikasi ini semakin populer dan banyak diunduh oleh pengguna menurut saya ini aplikasi yang bagus untuk informasi,This is an almost exact replacement application for X Twitter. Since rumors circulated that meta boss Mark would have a 1 vs 1 duel with Twitter boss,negative
Muhammad arif Pratama013,3,2024-04-24 11:42:14,Harus di updated lagi si soal audio harus di pencet ulang untuk mendengarkan,"It has to be updated again, the audio question has to be pressed again to listen",negative
ELvander E Zebua,5,2024-02-28 16:57:32,"Serius, masih bingung... tapi keliatannya sik, karna ada photo. sumpah demi apa, saya pengguna baru. layaknya level, saya lagi di level underdog... therads (tunjukkan pesonamu)","Seriously, still confused... but it looks good, because there is a photo. I swear to God, I'm a new user. like a level, I'm at the underdog level... therads (show your charm)",positive
M. Aesar,5,2024-07-08 11:29:55,Baru saja gabung di Threads sementara masih bingung untuk melihat postingan,Just joined Threads while still confused about seeing posts,negative
AKHMAD RIVALDI,4,2024-05-21 20:07:16,bagus banget cuy Tapi kenapa setiap aku komen ke seseorang gak bisa dulu sih bisa tapi kenapa gak bisa Lumayan juga sih 😉,"Very good, bro. But why is it that every time I comment to someone, it doesn't work, but why can't it? It's not bad 😉",positive
dolpin go,5,2024-05-04 16:41:09,tambahin tranding topik atau hastag agar mempermudah pencarian terupdate.,add trending topics or hashtags to make it easier to search for updates.,positive
Eko Fredianto,5,2024-06-05 17:42:01,Bagus dan mudah untuk Di jalankan,Nice and easy to run,positive
Santy Kurniawaty,3,2024-07-17 11:27:31,Kolom komentar kenapa tidak bisa dibuka? Mohon perbaikan,Why can't the comments column be opened? Please fix,positive
Halangbaya Bayan,4,2024-04-26 10:30:07,"Mudah mudahan Threads Instagram sangat membantu dlm segalahal yg baik, dan banyak manfaatnya buat kami semua","Hopefully Instagram Threads will be very helpful in all good ways, and will have many benefits for all of us",positive
Anita Yunita,5,2024-07-05 03:06:40,bagus sekali terus tingkatkan ya,"Very good, keep improving",positive
nandar Ismail,4,2024-06-23 15:30:02,Terjemahan teksnya belum ada,There is no translation of the text yet,negative
Mail Rachman,4,2024-07-01 09:12:17,"bagus, but.. kurang komunikatif aja","good, but... not very communicative",positive
Anika Angella,3,2024-06-28 05:37:18,Kenapa tiba tiba kaya tidak terdaftar gitu ya...,Why is it suddenly like it's not registered?,positive
Alfandri Ivanz,5,2024-07-08 14:02:32,aplikasi terbaik dan simple,the best and simple application,positive
Tiarma Sitohang,5,2024-07-17 13:23:53,Threads Aplikasihnya Sangat Mudah dan Asyiik,Threads The application is very easy and fun,positive
zullubis 103,4,2024-07-12 19:03:15,masih perlu di tingkatkan lg,still needs to be improved,positive
sahril Aja,3,2024-02-07 03:50:58,"Saat ini masih berfungsi dengan baik bintang 3 dulu, masukan buat pengemban fitur untuk menyimpan vidio belum bisa saat ini semoga bisa cepat berbenah.!","Currently it's still functioning well. 3 stars first, input for feature developers to save videos, it's not possible at the moment, hopefully it can be fixed quickly!",positive
Anika Khan,4,2024-07-01 05:06:41,Sejauh ini masih bagus app ini tidak ada masalah semoga lebih baik saja,"So far this app is still good, no problems, hopefully it will get better",positive
Andriyati Arifin,5,2024-07-12 13:33:47,"saya suka , terus semakin baik ya, slmt ultah treads","I like it, it keeps getting better, happy birthday treads",positive
Nurma Maha Bayu,2,2024-07-05 03:01:28,"Sering banget sekarang instagram sy di suspend, padahal jarang banget posting","Very often now my Instagram is suspended, even though I rarely post",negative
Slamet Sudi santoso,4,2024-07-07 09:24:06,Baik ...membantu kita lebih banyak kenal orang2 yg berkualitas dibidangnya,Good...helps us get to know more qualified people in their fields,negative
muszlim abdi,4,2024-07-09 05:34:53,Lumayan bagus pertahankan keamanan penggunanya,Pretty good at maintaining user security,positive
Haliza Bunga,1,2024-06-26 03:31:35,"Halo admin, awalnya sebelum main th akun ig saya aman² aja, tapi knp pas main th kok tiba² dpt notif akun anda dinonaktifkan dan harus pengajuan banding. Pas udh pengajuan banding akun saya malah ilang. Tolong dong dibenerin lagi biar ga ngaruh ke Ig org, tlg jg akun² yg folls besar sprti punya saya hilang gitu ngrs kesel bgt sakit hati kecewa, bner² ini apk tdk sprti yg ku duga. Ngancurin semua hidup org akun Ig nya harus dinonaktifkan pdhl g salah apa² g ngelanggar aturan, udh 3× dpt notif gtu","Hello admin, initially before playing th, my IG account was safe, but why was it when I played th that I suddenly got a notification that your account was deactivated and I had to submit an appeal. When I submitted an appeal, my account was lost. Please fix it again so it doesn't affect people's IG, please also accounts that have big followers like mine have disappeared so I'm really upset and disappointed, really this apk is not what I expected. Ruining everyone's lives, IG accounts have to be deactivated, even if there's nothing wrong with it, it's not breaking the rules, I've gotten notifications like that 3x",positive
Ummi Zuhriah,5,2024-07-04 13:36:51,"Suka banget ,karena apresiasi para pengguna begitu menyenangkan","I really like it, because the appreciation from users is so enjoyable.",positive
Vira septian yudiani,3,2024-02-10 17:12:39,"Sejauh ini aman² aja dan oke oke aja. Cuma ini kenapa tiba2 pas saya post gk mau muncul, terakhir update 2 minggu lalu bisa. Tapi hari ini minggu 11 feb 2024 saya gk bs post. Tolong jika memang ada problem pada sistem segera diperbaharui. Terima kasih","So far it's safe and okay. This is the only reason why suddenly when I post it it won't appear, the last update 2 weeks ago did. But today, Sunday 11 February 2024, I can't post. Please, if there is a problem with the system, update it immediately. Thank You",positive
tatopc 08,4,2024-04-14 15:14:00,"aplikasinya lumayan bagus sih,,selama ini masih belm ada kendala,, mudah untuk berinteraksi tambah"" teman dan lain sebagainya,, yaaa walaupun belm tau cara make nya.","The application is pretty good, so far there haven't been any problems, easy to interact with, add friends and so on, even though you don't know how to use it yet.",positive
Harlina Shafwan,5,2024-03-27 05:57:32,"banyak teman tampa batas, saling support, bisa ngeluarin beban fikiran, org2nya juga asik,saat kita butuh teman ada aja yg nawarin buat jadi teman.walau baru di threads tapi sudah seperti rumah untuk pulang, saat mengeluh ada aja yang tanggapin, ada yang ngasi solusi, ada juga yang menghibur, walau keluhannya cuma canda an aja. serulah kurasa, mau cari yang bahasanya puitis ada, yang bahasanya lucu juga ada, yg gombalan receh juga banyak tapi tetap sopan pastinya,enaklah membuat kita tetap waras","lots of friends without limits, support each other, can take the burden off your mind, the people are also cool, when we need a friend there are those who offer to be friends. Even though it's just in the thread, it's like a home to come home to, when we complain, there's just someone who responds, there's someone who gives. solutions, there are also those that are entertaining, even if the complaint is just a joke. I exclaim, I want to look for something with poetic language, there's also funny language, there's also a lot of loose change but it's still polite of course, it's nice to keep us sane.",positive
IngsunGraph Official,1,2024-04-08 03:38:47,"Udah bener ada background thread nya malah dihapus, ini bug atau sengaja' si? Tolong diperbaiki dong, padahal aesthetic pake background itu ciri khas banget","It's true that the background thread was deleted, is this a bug or on purpose? Please fix it, even though the aesthetic of using a background is really typical",positive
Saska RF,2,2023-07-07 06:16:34,"Aku menemukan 2 bug. Yang pertama saat unggah threads dengan lampiran foto resolusi tinggi, threads tidak terunggah padahal koneksi data unggahnya berjalan, dan itu dibarengi dengan aplikasi lag bahkan sampai forceclose. Dan yang kedua saat copy teks selain huruf alphabet (seperti huruf arab, Thailand, aksara jawa), aplikasi akan mengalami lag hingga kemudian forceclose. Untuk pengembang, tolong optimalkan lagi karena beberapa apl META mempunyai masalah sama terhadap kompresi media foto & video.","I found 2 bugs. The first is when uploading threads with high resolution photos attached, the threads are not uploaded even though the upload data connection is running, and this is accompanied by application lag and even force close. And secondly, when copying text other than alphabet letters (such as Arabic, Thai, Javanese script), the application will experience lag until then force close. For developers, please optimize again because several META applications have the same problem with photo & video media compression.",negative
Muhammad Husni Mubarok,5,2023-07-06 13:40:14,"Permulaan bagus ada saingan aplikasi burung. Namun masih ada beberapa bug seperti mau nulis sesuatu terkadang keyboard seperti error, tulisan kehapus sendiri, padahal normal, lalu orang2 yang mengikuti terkadang ilang pas di refresh muncul kembali, fitur hastag atau tagarnya tidak bisa di klik, mungkin gaada fitur itu, sarannya adain biar mempermudah akses yg lagi trend sepeti di aplikasi burung. Tks.","Good start there is a rival bird app. However, there are still some bugs, such as when you want to write something, sometimes the keyboard has an error, the writing deletes itself, even though it's normal, then people who follow sometimes disappear when you refresh it and appear again, the hashtag feature can't be clicked, maybe there isn't that feature, the suggestion is to make it work. makes it easier to access trends such as the bird application. Thanks.",positive
