text,positive_sentences,positive_score
aplikasi bodoh saya daptar oke ig tidak dapat sudah jelas kata sandi ig saya itu babi langsung saya uninstal lagi ini aplikasi ajg lebih baik twitter,aplikasi bodoh saya daptar oke ig tidak dapat sudah jelas kata sandi ig saya itu babi langsung saya uninstal lagi ini aplikasi ajg lebih baik twitter,3
tidak suka sangat ini app sudah x nge update sendiri padahal tidak atur update otomatis,tidak suka sangat ini app sudah x nge update sendiri padahal tidak atur update otomatis,3
keren lanjay sangat di hp saya tidak ada masalah dan kendala terus tingkat lagi agar aplikasi belah saing hahaha,keren lanjay sangat di hp saya tidak ada masalah dan kendala terus tingkat lagi agar aplikasi belah saing hahaha,3
jauh ini aman saja dan oke oke saja cuma ini kenapa tiba pas saya post tidak mau muncul akhir update minggu lalu dapat tapi hari ini minggu feb saya tidak dapat post tolong jika memang ada masalah pada sistem segera baharu terima kasih,jauh ini aman saja dan oke oke saja cuma ini kenapa tiba pas saya post tidak mau muncul akhir update minggu lalu dapat tapi hari ini minggu feb saya tidak dapat post tolong jika memang ada masalah pada sistem segera baharu terima kasih,3
suka sangat karena apresiasi para guna begitu senang,suka sangat karena apresiasi para guna begitu senang,3
aplikasi bagus stylish tidak batas untuk mengupload dalam hari tapi yang sangat sayang adalah harus login guna akun instagram alangkah baik jika instagram dan threads milik akun yang beda,aplikasi bagus stylish tidak batas untuk mengupload dalam hari tapi yang sangat sayang adalah harus login guna akun instagram alangkah baik jika instagram dan threads milik akun yang beda,3
aplikasi bagus dan wajib dikembangin lebih banyak lagi dengan bagai fitur yang mudah guna aplikasi facebook instagram dan lain inti ini lumayan worth it bagai ganti twitter anda,aplikasi bagus dan wajib dikembangin lebih banyak lagi dengan bagai fitur yang mudah guna aplikasi facebook instagram dan lain inti ini lumayan worth it bagai ganti twitter anda,3
aplikasi yang sempurna untuk promosi produk atau hidup hari hari jadi kreator di aplikasi ini dengan mudah dan cepat,aplikasi yang sempurna untuk promosi produk atau hidup hari hari jadi kreator di aplikasi ini dengan mudah dan cepat,3
over all bagus asa nostalgia pakai app belah saran untuk mimin tambah fitur tambah fitur translate tambah fitur save photo pada device android jangan dikit kasih warning ke konten yang sebenernya fine fine saja sisa sudah oke semua tetep konsisten iya jangan sampai appnya jadi banyak iklan terima kasih,over all bagus asa nostalgia pakai app belah saran untuk mimin tambah fitur tambah fitur translate tambah fitur save photo pada device android jangan dikit kasih warning ke konten yang sebenernya fine fine saja sisa sudah oke semua tetep konsisten iya jangan sampai appnya jadi banyak iklan terima kasih,3
aplikasi sudah sangat bagus tapi tolong pas update nanti dapat pakai akun selain instragram soal turut ini susah soal saya pernah akun instagram hilang jadi tidak dapat login ke theards dan sayang lupa tidak screenshot nanti kalau dapat pakai akun lain saya ganti jadi bintang,aplikasi sudah sangat bagus tapi tolong pas update nanti dapat pakai akun selain instragram soal turut ini susah soal saya pernah akun instagram hilang jadi tidak dapat login ke theards dan sayang lupa tidak screenshot nanti kalau dapat pakai akun lain saya ganti jadi bintang,3
apk bagus sangat ini untu dapat informasi akurat,apk bagus sangat ini untu dapat informasi akurat,3
baik dan sangat informatif,baik dan sangat informatif,3
aku senang app ini sangat buat hibur untuk ikut serta potingan buat aku nah paling suka saya kasih bintang lima buat saya,aku senang app ini sangat buat hibur untuk ikut serta potingan buat aku nah paling suka saya kasih bintang lima buat saya,3
sangat bagus manfaat treads adalah aplikasi untuk kembang inspirasi lalu ide dan gagas cerdas dan positif untuk baik dan lanjut masa depanyang lebih baik,sangat bagus manfaat treads adalah aplikasi untuk kembang inspirasi lalu ide dan gagas cerdas dan positif untuk baik dan lanjut masa depanyang lebih baik,3
baru download baru nyoba langsung jatuh cinta waaww best sangat puas selera sangat tidak ribet penuh mantap,baru download baru nyoba langsung jatuh cinta waaww best sangat puas selera sangat tidak ribet penuh mantap,3
aplikasi baguss saya nyaman pakai saya predikis aplikasi ini bakal jadi app yang ramai saja depan cuma minta ditambahin fitur fiturnya dong edit thread soal kalau ada salah di konten yang sudah kita upload itu harus hapus lagi dan ketik ulang repot aplikasi tagar agar guna lebih mudah jangkau konten suka mereka jadi pas di cari jangan cuma akun akun guna saja yang muncul tapi juga sama konten yang tagar kait dengan yang kita cari,aplikasi baguss saya nyaman pakai saya predikis aplikasi ini bakal jadi app yang ramai saja depan cuma minta ditambahin fitur fiturnya dong edit thread soal kalau ada salah di konten yang sudah kita upload itu harus hapus lagi dan ketik ulang repot aplikasi tagar agar guna lebih mudah jangkau konten suka mereka jadi pas di cari jangan cuma akun akun guna saja yang muncul tapi juga sama konten yang tagar kait dengan yang kita cari,3
kenapa aplikasi selalu alami bug saat ingin refresh bagaimana saja ini tolong baik cepat dong,kenapa aplikasi selalu alami bug saat ingin refresh bagaimana saja ini tolong baik cepat dong,3
mengapa aetelah main threads akun ig yang hubung dengan threads selalu kena tangguh tanpa alas yang jelas banyak yang likes karena utas banyak yang follow dan komen di utas apakah itu jadi masalah kalau sekira jadi masalah lebih baik hilang saja fitur likes komen dan buat utas baru serta sistem deteksi kata yang dianngap itu bagai kata kasar sedang kata apalagi yang guna untuk canda hadap kenal di threads,mengapa aetelah main threads akun ig yang hubung dengan threads selalu kena tangguh tanpa alas yang jelas banyak yang likes karena utas banyak yang follow dan komen di utas apakah itu jadi masalah kalau sekira jadi masalah lebih baik hilang saja fitur likes komen dan buat utas baru serta sistem deteksi kata yang dianngap itu bagai kata kasar sedang kata apalagi yang guna untuk canda hadap kenal di threads,3
coba deh threads ubah format tanggal jangan pakai minggu tapi pakai tanggal jam berapa tepat terus di segmen explore improve search bar agar tidak kalah sama x tiktok ini apk tulis sisi lain instagram tapi search bar jangan disamain dengan ig yang lebih efektif cari lewat nama saja,coba deh threads ubah format tanggal jangan pakai minggu tapi pakai tanggal jam berapa tepat terus di segmen explore improve search bar agar tidak kalah sama x tiktok ini apk tulis sisi lain instagram tapi search bar jangan disamain dengan ig yang lebih efektif cari lewat nama saja,3
kembaliin akun saya tidak suka sangat apk nya tidak ada bagus bagus nya saya hapus apk nya malah di hack akun saya emosi lama maaf ini kalau kata nya tidak sopan saya sudah emosi sangat bisa mungkin kembaliin akun saya di situ banyak kenang an filter ig saya do your magic ig plis saya mohon,kembaliin akun saya tidak suka sangat apk nya tidak ada bagus bagus nya saya hapus apk nya malah di hack akun saya emosi lama maaf ini kalau kata nya tidak sopan saya sudah emosi sangat bisa mungkin kembaliin akun saya di situ banyak kenang an filter ig saya do your magic ig plis saya mohon,3
aplikasi bagus dan mudah paham untuk guna mula tampil nya mirip mirip instagram keren lucu begitu,aplikasi bagus dan mudah paham untuk guna mula tampil nya mirip mirip instagram keren lucu begitu,3
bagus saja cuma di timeline banyak post orang lain yang tidak kita follow jadi buat tidak nyaman baik lagi dong timeline nya,bagus saja cuma di timeline banyak post orang lain yang tidak kita follow jadi buat tidak nyaman baik lagi dong timeline nya,3
sudah cukup dan sangat baik moga depa makin baik dan lancar tuhan kati,sudah cukup dan sangat baik moga depa makin baik dan lancar tuhan kati,3
cukup tarik saja bagai alternatif twitter login nya juga sangat simple animasi saat open close foto video juga asik fluid juga mudah an di kasih opsi agar video tidak run otomatis jadi lebih hemat kuota juga saran dari saya lebih enak kalau saat di like postingan foto video tinggal double klik seperti instagram sudah cukup mantap buat app ini,cukup tarik saja bagai alternatif twitter login nya juga sangat simple animasi saat open close foto video juga asik fluid juga mudah an di kasih opsi agar video tidak run otomatis jadi lebih hemat kuota juga saran dari saya lebih enak kalau saat di like postingan foto video tinggal double klik seperti instagram sudah cukup mantap buat app ini,3
bagus cuma untuk notif follower ketika lebih dari notifnya bakal tumpuk ini sangat gagu ketika saya mau follback tapi tidak dapat lihat siapa yang follow saya mohon segera di baik,bagus cuma untuk notif follower ketika lebih dari notifnya bakal tumpuk ini sangat gagu ketika saya mau follback tapi tidak dapat lihat siapa yang follow saya mohon segera di baik,3
aplikasi bagus dan mudah di guna sayang banyak akun arsip atau akun ig pribadi yang hilang hanya karena utas threads padahal hanya bikin utas biasa ngobrol dengan teman tapi akun kita di tangguh sampai permanen sumpah nyesek sangat padahal kalau lihat menu langgar di bagi privasi kita sama sekali gapunya catat lapor langgar kan aneh,aplikasi bagus dan mudah di guna sayang banyak akun arsip atau akun ig pribadi yang hilang hanya karena utas threads padahal hanya bikin utas biasa ngobrol dengan teman tapi akun kita di tangguh sampai permanen sumpah nyesek sangat padahal kalau lihat menu langgar di bagi privasi kita sama sekali gapunya catat lapor langgar kan aneh,3
apk ini sangat bagus moga update tambahin fitur penterjemah agar dapat baca bahasa asing dari negara lain,apk ini sangat bagus moga update tambahin fitur penterjemah agar dapat baca bahasa asing dari negara lain,3
saya baru gabung tapi saya lihat ini sangat baik sukses selalu,saya baru gabung tapi saya lihat ini sangat baik sukses selalu,3
saya suka terus makin baik iya slmt ultah treads,saya suka terus makin baik iya slmt ultah treads,3
aplikasi yang bagus kompetitor aplikasi yang sangat kompetitif lebih mudah ketemu dengan teman karena ter integtitas langsung dengan medsos yang lain,aplikasi yang bagus kompetitor aplikasi yang sangat kompetitif lebih mudah ketemu dengan teman karena ter integtitas langsung dengan medsos yang lain,3
tahan dan update fitur lengkap agar nyaman,tahan dan update fitur lengkap agar nyaman,3
kenapa appnya tidak dapat buka padahal awal sudah bagus tapi pas hari ini tiap mau buka selalu kembali terus,kenapa appnya tidak dapat buka padahal awal sudah bagus tapi pas hari ini tiap mau buka selalu kembali terus,3
sudah bagus cuma harus ada beberapa update lanjut lagi kita butuh banyak fitur untuk dukung kami aktif di akun threads,sudah bagus cuma harus ada beberapa update lanjut lagi kita butuh banyak fitur untuk dukung kami aktif di akun threads,3
ini aplikasi sangat buruk akun instagram saya jadi hilang gegara ini aplikasi thread ini aplikasi tidak canggih seperti duga aplikasi abal abal lebih baik saya un install,ini aplikasi sangat buruk akun instagram saya jadi hilang gegara ini aplikasi thread ini aplikasi tidak canggih seperti duga aplikasi abal abal lebih baik saya un install,3
tambah mode gelap jangan dari atur hp bagai suka gelap ini sangat susah soal hari dari setel hp sedang tidak semua nya bagus dalam mode gelap,tambah mode gelap jangan dari atur hp bagai suka gelap ini sangat susah soal hari dari setel hp sedang tidak semua nya bagus dalam mode gelap,3
aplikasi sudah bagus tapi tiap kirim gambar selalu keluar sendiri mohon baik,aplikasi sudah bagus tapi tiap kirim gambar selalu keluar sendiri mohon baik,3
lancar saja di samsung galaxy a chipset hio tidak untuk fitur karena baru rilis tidak banyak twitter tapi iya moga update lanjut baik bug post atau fiturnya tambah,lancar saja di samsung galaxy a chipset hio tidak untuk fitur karena baru rilis tidak banyak twitter tapi iya moga update lanjut baik bug post atau fiturnya tambah,3
bagi saya aplikasi ini sangat bagus dan inspirasi kita untuk kembang bakat ngonten untuk lebih detail silah download aplikasi nya,bagi saya aplikasi ini sangat bagus dan inspirasi kita untuk kembang bakat ngonten untuk lebih detail silah download aplikasi nya,3
aplikasi keren yang sangat bantu branding terimakasih moga sukses selalu,aplikasi keren yang sangat bantu branding terimakasih moga sukses selalu,3
buat kalian yang login threads utama yang threadsnya suka ke log out sendiri coba cek aman deh abistu tempat login ada gambar pc perangkat tidak kenal tidak soal sudah kali ini ig saya kena tangguh terus awal mikir kena hack tapi baru sadar tiap buka thread ig ada yang login perangkat baru sadar kayak ini aplikasi bikin bug kalau ada saran apus saja threadnya daripada eror bahkan rambat ke ig nya langsung,buat kalian yang login threads utama yang threadsnya suka ke log out sendiri coba cek aman deh abistu tempat login ada gambar pc perangkat tidak kenal tidak soal sudah kali ini ig saya kena tangguh terus awal mikir kena hack tapi baru sadar tiap buka thread ig ada yang login perangkat baru sadar kayak ini aplikasi bikin bug kalau ada saran apus saja threadnya daripada eror bahkan rambat ke ig nya langsung,3
harus refresh refresh terus ketika update atau hapus pesan atau yang lain sudah saja itu saja masih belum live refresh seperti facebook dan fitur chat fitur download gambar video fitur rethreads counter nya moga cepat ada terimakasih,harus refresh refresh terus ketika update atau hapus pesan atau yang lain sudah saja itu saja masih belum live refresh seperti facebook dan fitur chat fitur download gambar video fitur rethreads counter nya moga cepat ada terimakasih,3
bagus tapi sayang di lokasi saya selalu tulis tumpuk jadi saya tidak dapat baca tolong baik,bagus tapi sayang di lokasi saya selalu tulis tumpuk jadi saya tidak dapat baca tolong baik,3
lebih mantap lah daripada apk belah banyak downgrade nya lebih bagus dan rapi,lebih mantap lah daripada apk belah banyak downgrade nya lebih bagus dan rapi,3
aplikasi bagus tapi akan lebih baik dapat beri fitur yang dapat lihat siapa yang tidak follback kita terus jangan terlalu batas giat kita seperti ngecek followers tiba eror tidak dapat di cek lagi harus nunggu beberapa jam baru dapat baik lagi,aplikasi bagus tapi akan lebih baik dapat beri fitur yang dapat lihat siapa yang tidak follback kita terus jangan terlalu batas giat kita seperti ngecek followers tiba eror tidak dapat di cek lagi harus nunggu beberapa jam baru dapat baik lagi,3
bagus sangat tapi sayang tidak ada topic trend gituu terus kalau kita search pasti yang muncul akun akun saja tidak ada seperti postingan orang lain,bagus sangat tapi sayang tidak ada topic trend gituu terus kalau kita search pasti yang muncul akun akun saja tidak ada seperti postingan orang lain,3
sangat suka mantap,sangat suka mantap,3
app nya update otomatis tiap update balas komentar tidak muncul bikin kesel saja jadi tidak dapat lihat balas komentar kita harus hpus data lagi dan login ulang begitu saja terus asal mau lihat balas koment harus hpus data dulu jadi tidak nyaman pakai app ini,app nya update otomatis tiap update balas komentar tidak muncul bikin kesel saja jadi tidak dapat lihat balas komentar kita harus hpus data lagi dan login ulang begitu saja terus asal mau lihat balas koment harus hpus data dulu jadi tidak nyaman pakai app ini,3
masih perlu banyak baik unggah foto lama sangat dan lambat padahal sinyal bagus,masih perlu banyak baik unggah foto lama sangat dan lambat padahal sinyal bagus,3
jauh ini suka dan sudah bagus main ini cuma kok terjemah hilang iya sekarang harus klik titik dulu terus klik terjemah kalau dulu tinggal lambang terjemah simple tolong dong balikin lagi lambang terjemah nya agar x klik saja,jauh ini suka dan sudah bagus main ini cuma kok terjemah hilang iya sekarang harus klik titik dulu terus klik terjemah kalau dulu tinggal lambang terjemah simple tolong dong balikin lagi lambang terjemah nya agar x klik saja,3
aplikasi nya bagus sangat mudah saya dalam teman,aplikasi nya bagus sangat mudah saya dalam teman,3
padahal ken sangat join threads dari lama tapi pas sudah install terus login pakai ig bahkan ig saya yang tadi baik saja bahkan tiba ter logout otomatis terus sampai capek loginnya,padahal ken sangat join threads dari lama tapi pas sudah install terus login pakai ig bahkan ig saya yang tadi baik saja bahkan tiba ter logout otomatis terus sampai capek loginnya,3
tolong baik buka thread biasa tapi telah nonton youtube menit dan ada notofikasi thread maaf saya lupa karena panik hp saya hang layar hidup tapi touchscreen mati cuma aktif tombol on off layar saja paksa force off v lume bawah dan tombol on off saya guna samsung m bintang belum difix ok,tolong baik buka thread biasa tapi telah nonton youtube menit dan ada notofikasi thread maaf saya lupa karena panik hp saya hang layar hidup tapi touchscreen mati cuma aktif tombol on off layar saja paksa force off v lume bawah dan tombol on off saya guna samsung m bintang belum difix ok,3
pertama kali log in langsung alami bug tulis tulis tidak jelas tampil seperti layar handphone rusak tolong cepat baik,pertama kali log in langsung alami bug tulis tulis tidak jelas tampil seperti layar handphone rusak tolong cepat baik,3
well bagus saja apk nya tapi tolong ditingkatin lagi suka ngelagg terus jarak antara love sama komentar kedeketan pls,well bagus saja apk nya tapi tolong ditingkatin lagi suka ngelagg terus jarak antara love sama komentar kedeketan pls,3
aplikasi sangat bagus sayang masih sering ada bug sering ada masalah jika mau komen sering kena batas lebih oke gara gara thread kita dapat curhat ngoceh dan sosial dengan warga thread sendiri,aplikasi sangat bagus sayang masih sering ada bug sering ada masalah jika mau komen sering kena batas lebih oke gara gara thread kita dapat curhat ngoceh dan sosial dengan warga thread sendiri,3
threads bagus banget lama ini saya tidak ketemu konten nsfw apa namun size apk threads cukup berat dan buffering konten lama sangat beda seperti instagram padahal ui nya lebih simple dari fb dan ig saran cuma size dan audio meetingnya saja mudah dapat bantu developer,threads bagus banget lama ini saya tidak ketemu konten nsfw apa namun size apk threads cukup berat dan buffering konten lama sangat beda seperti instagram padahal ui nya lebih simple dari fb dan ig saran cuma size dan audio meetingnya saja mudah dapat bantu developer,3
mudah mudah threads instagram sangat bantu dalam segalahal yang baik dan banyak manfaat buat kami semua,mudah mudah threads instagram sangat bantu dalam segalahal yang baik dan banyak manfaat buat kami semua,3
sangat bagus dan akurat mohon lebih tambah lagi fitur fitur baru terima kasih,sangat bagus dan akurat mohon lebih tambah lagi fitur fitur baru terima kasih,3
dari segi tampil sudah bagus cuma masih ada yang eror yaitu ken lihat teman yang follow tidak di tahu harus di kunjung satu aku mungkin masih awal masih banyak yang perlu di baik,dari segi tampil sudah bagus cuma masih ada yang eror yaitu ken lihat teman yang follow tidak di tahu harus di kunjung satu aku mungkin masih awal masih banyak yang perlu di baik,2
turut aku ini yang lebih keren saja daripada yang logo burung biru tidak dapat konek in ke ig dan mau mutualan sama akun lain di kasih limit yuk buru download aplikasi threads ini karena lebih seru banding yang ono moga aplikasi threads ini dapat tambah fitur berita trend fitur kayak ig juga agar makin nyaman buat guna nya,turut aku ini yang lebih keren saja daripada yang logo burung biru tidak dapat konek in ke ig dan mau mutualan sama akun lain di kasih limit yuk buru download aplikasi threads ini karena lebih seru banding yang ono moga aplikasi threads ini dapat tambah fitur berita trend fitur kayak ig juga agar makin nyaman buat guna nya,2
aku kasih rating soalny masih suka error tolong baik bugnya masih sering error kalau login kalau dapat adain fitur dapat lihat yang unfoll,aku kasih rating soalny masih suka error tolong baik bugnya masih sering error kalau login kalau dapat adain fitur dapat lihat yang unfoll,2
sangat bantu dalam hal promosi keren sangat deh,sangat bantu dalam hal promosi keren sangat deh,2
baru download eh pas lihat postingan di akun instagram banyak yang hilang itu kenapa dapat begitu coba orang jelas pada saya demi apa nyesel sangat pakai ini kalau emang postingan tidak dapat balik lagi emot menang,baru download eh pas lihat postingan di akun instagram banyak yang hilang itu kenapa dapat begitu coba orang jelas pada saya demi apa nyesel sangat pakai ini kalau emang postingan tidak dapat balik lagi emot menang,2
sangat keren aplikasi,sangat keren aplikasi,2
aplikasi yang baik dan ter cepat,aplikasi yang baik dan ter cepat,2
mungkin depan fitur untuk mudah guna dapat tambah seperti pindah akun dapat hold tap saja terus fitur hastag juga ditampilka cari,mungkin depan fitur untuk mudah guna dapat tambah seperti pindah akun dapat hold tap saja terus fitur hastag juga ditampilka cari,2
wah bug nya parah sangat saja untuk kelas meta meski ini apk baru harus nya dapat lebih di optimal lagi belum di rilis kalau begini kan kesan pertama org org akan jelek sangat,wah bug nya parah sangat saja untuk kelas meta meski ini apk baru harus nya dapat lebih di optimal lagi belum di rilis kalau begini kan kesan pertama org org akan jelek sangat,2
moga sehat selalu dan lancar rezeki,moga sehat selalu dan lancar rezeki,2
twitter dulu bagus sekarang gegara satu orang yang itu ambil alih kuasa jadi rasa kurang pakai sangat entah apa yang ada benak orang itu saat alih ke threads wkwk,twitter dulu bagus sekarang gegara satu orang yang itu ambil alih kuasa jadi rasa kurang pakai sangat entah apa yang ada benak orang itu saat alih ke threads wkwk,2
bagus bangeut sangat ngebantu sekali untuk saling komunikasi o,bagus bangeut sangat ngebantu sekali untuk saling komunikasi o,2
baik bug text yang tumpu saat di scroll bug nya parah sangat menggangu terimakasih,baik bug text yang tumpu saat di scroll bug nya parah sangat menggangu terimakasih,2
bagus saja keren habis cuma kenapa tidak di satuin saja ig nya tidak di pisah,bagus saja keren habis cuma kenapa tidak di satuin saja ig nya tidak di pisah,2
keren transparan dan tidak beri ruang chat privasi suka suka suka,keren transparan dan tidak beri ruang chat privasi suka suka suka,2
mantap selalu dalam lestari budaya daerah,mantap selalu dalam lestari budaya daerah,2
